,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1892695068,0,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-20-05,04:20:43,4298.280000000001,5:32:21,22.51
ID3260451546,1,9,6,-38.1109156,144.6541725,-37.7908183,144.9857929,47186.0,2018-20-05,07:09:41,11423.220000000008,10:20:04,62.53
ID3631747864,1,9,1,-38.1109156,144.6541725,-37.8024488,144.9566083,43917.0,2018-13-03,09:43:23,10630.200000000003,12:40:33,55.91
ID3914008247,1,4,3,-37.8063019,144.9973646,-37.8102168,144.9779758,2552.0,2018-18-01,23:13:39,621.9599999999997,23:24:00,15.21
ID3211567619,1,6,7,-37.7907967,144.985865,-37.8618349,144.905716,11711.0,2018-04-15,00:17:11,3866.9400000000014,1:21:37,36.13
ID1885892599,0,2,4,-37.8214382,144.9456191,-37.8007404,145.0101478,7003.0,2018-07-11,19:58:23,1707.9,20:26:50,11.47
ID3579720827,1,6,7,-37.773845,144.9836895,-37.8618349,144.905716,13169.0,2018-05-22,17:32:36,3866.460000000001,18:37:02,30.53
ID3907007337,1,8,4,-37.8158343,145.04645,-37.8031014,145.0206127,5930.0,2018-02-24,09:11:32,1794.5999999999995,9:41:26,18.72
ID5747164531,2,6,8,-37.7738026,144.9836466,-37.8158343,145.04645,13562.0,2018-01-16,00:30:34,4213.5599999999995,1:40:47,294.03
ID1816261371,0,4,2,-37.8126086,145.0118633,-37.8141232,144.9397097,6914.0,2018-06-13,13:33:06,1720.6799999999996,14:01:46,11.1
ID1876652189,0,9,1,-38.1109156,144.6541725,-37.8011673,144.968491,44861.0,2018-06-12,15:34:20,10860.60000000001,18:35:20,23.82
ID5973605202,2,7,5,-37.8618349,144.905716,-37.8013511,144.9361111,12689.0,2018-20-03,12:35:23,4004.579999999998,13:42:07,272.18
ID1365540761,0,5,4,-37.8161658,144.9287393,-37.8004785,145.0183699,9976.0,2018-06-16,06:38:30,2623.56,7:22:13,13.14
ID5742151810,2,7,4,-37.8618349,144.905716,-37.803335,144.9899256,10763.0,2018-25-01,13:09:35,3569.8799999999983,14:09:04,244.17
ID5510599490,2,4,3,-37.8142698,145.0123841,-37.8179488,144.9905544,2719.0,2018-03-23,23:49:05,693.4800000000002,0:00:38,73.74
ID1845709679,0,1,9,-37.8070657,144.9600359,-38.1109156,144.6541725,43690.0,2018-07-14,12:43:45,10552.619999999999,15:39:37,28.79
ID1255183733,0,8,2,-37.8158343,145.04645,-37.8108192,144.9387736,9840.0,2018-25-05,05:33:09,2770.919999999998,6:19:19,16.97
ID5622476905,2,8,2,-37.8158343,145.04645,-37.8128336,144.9429319,9417.0,2018-04-23,16:46:58,2654.6399999999985,17:31:12,186.47
ID5927015845,2,2,5,-37.8136538,144.9306027,-37.8052229,144.9324237,1764.0,2018-04-03,10:53:24,470.87999999999994,11:01:14,40.62
ID1669334278,0,9,3,-38.1109156,144.6541725,-37.8263306,145.0039026,47253.0,2018-25-05,12:21:48,11433.540000000006,15:32:21,27.45
ID1401665425,0,4,6,-37.8037698,145.0107711,-37.7738026,144.9836466,10216.0,2018-01-24,15:57:50,3133.8000000000006,16:50:03,12.99
ID5214511451,2,1,2,-37.8246289,144.9601951,-37.8243004,144.9369768,2817.0,2018-04-04,01:08:34,710.64,1:20:24,74.36
ID1941297156,0,7,1,-37.8618349,144.905716,-37.8097055,144.9596272,8722.0,2018-06-24,13:15:52,2977.98,14:05:29,15.89
ID3622508802,1,1,2,-37.8125065,144.9532631,-37.8221797,144.9311455,3498.0,2018-06-13,11:50:53,816.42,12:04:29,8.67
ID1167683417,0,4,9,-37.8082181,145.0096288,-38.1109156,144.6541725,48144.0,2018-04-20,05:37:16,11652.06,8:51:28,31.21
ID5465484186,2,5,9,-37.8080896,144.9342439,-38.1109156,144.6541725,43089.0,2018-02-30,09:59:47,10315.74,12:51:42,665.65
ID1303263998,0,8,1,-37.8158343,145.04645,-37.8094019,144.9546478,8364.0,2018-07-16,04:57:07,2400.1799999999985,5:37:07,14.74
ID3874104777,1,3,6,-37.8097134,144.9879612,-37.7907967,144.985865,2546.0,2018-07-04,00:26:39,744.5999999999999,0:39:03,17.44
ID1588388940,0,2,4,-37.8133426,144.9446125,-37.8079234,144.9921256,4608.0,2018-03-25,23:09:22,1120.5600000000004,23:28:02,18.68
ID1763065367,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-04-31,12:51:34,13173.359999999999,16:31:07,27.84
ID1668773728,0,3,2,-37.8234736,144.9781911,-37.821095,144.947614,3146.0,2018-03-19,10:47:11,781.4400000000004,11:00:12,6.03
ID1726789676,0,2,3,-37.8214542,144.9473652,-37.8152092,144.9747566,2677.0,2018-01-02,09:44:26,664.92,9:55:30,6.0
ID1957678649,0,9,2,-38.1109156,144.6541725,-37.8278943,144.9502257,42879.0,2018-05-11,20:40:33,10347.479999999994,23:33:00,25.0
ID1639346756,0,3,8,-37.8164624,144.9710066,-37.8158343,145.04645,7082.0,2018-02-04,07:45:28,2113.92,8:20:41,11.99
ID3258784885,1,6,3,-37.7874421,144.9804091,-37.82412,144.9889671,4695.0,2018-06-31,08:38:49,1198.2600000000002,8:58:47,9.99
ID3721775084,1,8,5,-37.8158343,145.04645,-37.8154839,144.9282243,11735.0,2018-07-19,13:52:16,3260.3399999999983,14:46:36,25.18
ID1310867634,0,5,1,-37.8056135,144.9296361,-37.8174248,144.9526301,2623.0,2018-02-30,10:06:30,623.8199999999999,10:16:53,4.92
ID1824975914,0,3,5,-37.8157899,144.9869135,-37.8099179,144.9360412,5314.0,2018-04-31,01:06:55,1301.1000000000004,1:28:36,17.23
ID1251972421,0,6,4,-37.7738026,144.9836466,-37.798483,144.9979935,8955.0,2018-04-31,23:27:19,2803.0199999999995,0:14:02,16.85
ID1757963225,0,3,8,-37.8108844,144.9901876,-37.807202,145.0266373,3961.0,2018-01-26,19:43:03,935.46,19:58:38,10.5
ID3676961989,1,6,1,-37.7874421,144.9804091,-37.8204732,144.9663117,4432.0,2018-02-30,04:19:20,1143.360000000001,4:38:23,17.75
ID3424985196,1,6,2,-37.7874421,144.9804091,-37.8250103,144.9495171,5916.0,2018-03-01,07:47:33,1490.340000000001,8:12:23,13.28
ID3716864214,1,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-04-25,12:52:30,4298.280000000001,14:04:08,30.46
ID1453953071,0,1,4,-37.8106368,144.9605957,-37.8024414,144.9922659,3646.0,2018-02-30,07:19:16,823.4400000000003,7:32:59,5.76
ID3279529595,1,8,1,-37.8158343,145.04645,-37.8159139,144.9381486,9919.0,2018-06-26,13:54:02,2802.2399999999993,14:40:44,22.39
ID3427139809,1,6,9,-37.7907967,144.985865,-38.1109156,144.6541725,47193.0,2018-02-11,03:35:30,11530.619999999999,6:47:40,73.66
ID3195431740,1,6,8,-37.7874421,144.9804091,-37.8158343,145.04645,8357.0,2018-04-31,20:40:34,2437.38,21:21:11,20.06
ID3856511848,1,7,2,-37.8618349,144.905716,-37.8218259,144.9516054,8505.0,2018-01-12,07:49:39,2936.099999999999,8:38:35,18.02
ID1718478287,0,9,2,-38.1109156,144.6541725,-37.8179731,144.9320529,43147.0,2018-04-03,09:25:04,10356.599999999995,12:17:40,21.61
ID1146203361,0,3,1,-37.8139879,144.9897168,-37.8095586,144.9638384,2704.0,2018-06-01,18:22:24,621.3600000000001,18:32:45,9.22
ID1121146831,0,5,4,-37.8043053,144.9290103,-37.8113612,145.0050992,6998.0,2018-04-31,06:47:09,1831.0199999999998,7:17:40,7.82
ID3509692058,1,1,4,-37.8121891,144.9697987,-37.7968922,145.0095675,4923.0,2018-03-11,02:34:21,1311.0000000000002,2:56:12,27.43
ID5183389676,2,8,3,-37.8158343,145.04645,-37.8217972,144.9750466,7506.0,2018-03-21,13:53:28,2184.12,14:29:52,156.7
ID3911938313,1,4,1,-37.810097,144.9960508,-37.8141371,144.9716123,2579.0,2018-05-22,22:51:27,682.2000000000004,23:02:49,15.96
ID5503417000,2,6,5,-37.7907967,144.985865,-37.8149675,144.9275211,8013.0,2018-01-22,15:38:45,2169.779999999999,16:14:54,156.48
ID1526976082,0,2,6,-37.8169557,144.9274136,-37.7908183,144.9857929,7583.0,2018-03-18,08:44:43,1927.5000000000005,9:16:50,10.33
ID1413541734,0,2,9,-37.815083,144.9276048,-38.1109156,144.6541725,44372.0,2018-04-11,09:13:45,10667.279999999999,12:11:32,21.57
ID3876131840,1,7,8,-37.8618349,144.905716,-37.807202,145.0266373,13986.0,2018-04-06,17:55:02,4292.399999999998,19:06:34,29.6
ID3943856099,1,2,5,-37.8147958,144.9270579,-37.8051371,144.925914,3957.0,2018-01-25,10:44:58,978.48,11:01:16,9.13
ID1700965127,0,8,1,-37.807202,145.0266373,-37.7997915,144.9549504,6815.0,2018-02-02,10:58:15,1791.5400000000006,11:28:06,7.9
ID1674552271,0,1,5,-37.7995785,144.9596198,-37.8048086,144.9241859,3921.0,2018-02-08,02:20:54,962.5800000000003,2:36:56,12.51
ID3189103874,1,3,7,-37.8245586,144.9848092,-37.8618349,144.905716,8892.0,2018-03-14,23:06:56,2941.38,23:55:57,29.17
ID1888953472,0,8,4,-37.8158343,145.04645,-37.798441,144.9945891,5897.0,2018-05-14,22:56:04,1794.72,23:25:58,12.81
ID1989657926,0,3,2,-37.8102168,144.9779758,-37.8138383,144.9348805,5248.0,2018-05-06,03:54:00,1320.0600000000004,4:16:00,16.81
ID3262490429,1,7,4,-37.8618349,144.905716,-37.8095744,145.0003204,11162.0,2018-04-04,06:13:56,3623.8199999999974,7:14:19,24.15
ID1211496299,0,3,2,-37.8175268,144.9685529,-37.8178976,144.9485457,2375.0,2018-05-01,05:20:23,594.48,5:30:17,13.37
ID3761350077,1,1,8,-37.816991,144.9531909,-37.8158343,145.04645,8669.0,2018-07-20,14:22:24,2412.4800000000005,15:02:36,20.92
ID3554324312,1,6,5,-37.7908183,144.9857929,-37.8017383,144.9311332,6130.0,2018-01-08,02:22:01,1599.6599999999999,2:48:40,22.73
ID3501890561,1,7,4,-37.8618349,144.905716,-37.7865539,145.0197062,15763.0,2018-04-09,04:17:39,4899.7199999999975,5:39:18,37.93
ID1448604794,0,4,6,-37.7994379,145.0036422,-37.7874421,144.9804091,3887.0,2018-01-02,20:26:33,977.4000000000003,20:42:50,8.27
ID5748836468,2,1,7,-37.8200547,144.9686517,-37.8618349,144.905716,7601.0,2018-03-26,23:20:10,2651.8199999999997,0:04:21,197.9
ID1605344899,0,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-02-20,15:20:04,12681.060000000005,18:51:25,26.1
ID3537769206,1,7,3,-37.8618349,144.905716,-37.8196442,144.9849259,9281.0,2018-04-01,23:31:44,3033.7199999999984,0:22:17,33.37
ID1784651782,0,1,3,-37.8152976,144.9747665,-37.8242614,144.984296,1838.0,2018-03-03,09:57:56,449.21999999999986,10:05:25,9.43
ID1320714662,0,3,1,-37.8095238,144.9904915,-37.7989484,144.9538956,3692.0,2018-03-25,11:24:36,884.46,11:39:20,10.91
ID1494291705,0,5,8,-37.80184,144.9287179,-37.807202,145.0266373,9850.0,2018-01-24,01:09:53,2510.459999999999,1:51:43,17.1
ID5472805321,2,4,2,-37.8043781,144.9932968,-37.8120823,144.9383737,6061.0,2018-02-21,16:32:21,1507.0199999999995,16:57:28,115.23
ID3354995186,1,4,8,-37.8117506,145.0122097,-37.8158343,145.04645,3481.0,2018-04-10,21:37:51,1181.22,21:57:32,22.88
ID3128569543,1,5,9,-37.8009709,144.9364078,-38.1109156,144.6541725,43900.0,2018-02-02,14:21:08,10505.64,17:16:13,60.2
ID3626183760,1,4,9,-37.804485,145.0039791,-38.1109156,144.6541725,48089.0,2018-07-12,18:08:25,11663.58,21:22:48,67.35
ID3997563180,1,5,4,-37.8013501,144.937552,-37.8046743,144.9931465,6922.0,2018-04-20,11:20:33,1832.8199999999995,11:51:05,14.25
ID3601195907,1,3,9,-37.8240051,144.9802064,-38.1109156,144.6541725,45253.0,2018-06-26,21:51:38,10924.14,0:53:42,68.36
ID1637163341,0,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-02-16,20:55:40,12681.059999999998,0:27:01,27.36
ID3261555845,1,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-02-08,04:57:31,12681.059999999998,8:28:52,75.17
ID3563696287,1,7,1,-37.8618349,144.905716,-37.8066953,144.9625089,8996.0,2018-07-01,04:25:57,3033.2999999999956,5:16:30,32.53
ID3507292914,1,4,1,-37.8012882,145.0036959,-37.816446,144.9710005,4053.0,2018-05-10,23:53:44,1071.1800000000005,0:11:35,20.59
ID1356517592,0,1,7,-37.8147184,144.950696,-37.8618349,144.905716,9005.0,2018-05-03,09:13:32,3051.6000000000004,10:04:23,9.64
ID1415539641,0,6,5,-37.7908183,144.9857929,-37.791144,144.9368632,6444.0,2018-03-01,16:08:44,1677.42,16:36:41,10.85
ID5896374865,2,1,7,-37.8134396,144.9620098,-37.8618349,144.905716,8197.0,2018-07-03,15:01:25,2828.88,15:48:33,197.69
ID1536341660,0,9,6,-38.1109156,144.6541725,-37.773845,144.9836895,48197.0,2018-02-07,04:55:18,11495.340000000007,8:06:53,29.74
ID1351402636,0,5,9,-37.8062019,144.9397764,-38.1109156,144.6541725,43750.0,2018-02-09,22:39:24,10493.34,1:34:17,29.03
ID3338578937,1,4,8,-37.810795,145.0029751,-37.8158343,145.04645,3871.0,2018-01-20,19:27:19,1274.6399999999999,19:48:33,20.41
ID3118499537,1,4,6,-37.8148938,145.0142805,-37.7907967,144.985865,5320.0,2018-01-12,07:08:44,1451.82,7:32:55,12.53
ID1791546496,0,4,7,-37.800252,145.0095156,-37.8618349,144.905716,12938.0,2018-07-22,18:31:22,4133.700000000002,19:40:15,18.83
ID1307575332,0,3,6,-37.8187507,144.9960643,-37.7738026,144.9836466,9838.0,2018-05-22,04:05:25,2990.6400000000003,4:55:15,17.5
ID1208728990,0,8,4,-37.8158343,145.04645,-37.8099961,144.995232,4558.0,2018-06-24,02:47:05,1421.5200000000002,3:10:46,20.31
ID1737369615,0,4,8,-37.807228,144.9966617,-37.8158343,145.04645,4732.0,2018-02-09,06:38:59,1500.2400000000002,7:03:59,6.98
